Organization Name,Website,General Email,Founder Email,Country,Mission,Focus,Number of diseases,Rare Disease Focus,Confirmed Nonprofit status,founding_year,stakeholder_type,stakeholder_category,Founder names,Website mentions drug repurposing,Does organization utilize a biobank?,Does organization collect contact info?,Does organization utilize a natural history study/registry?,Does organization utilize a communication discussion platform?,Does organization have a formalized research agenda?,Does organization utilize crowdsourcing for research agenda?,Does organization have an SAB/MAB? ,Does organization have formalized treatment guidelines?,Does organization organize a conference?,"Is organization a member of umbrella organizations (NORD, Global genes, etc)?"
Connecting Families Urea Cycle Disorders Foundation,https://ucdfamily.org/,"https://ucdfamily.org/contact-us/
possible email: zebrastreams@gmail.com (not sure how active this might be, though)",robin@ucdfamily.org,United States of America,"Our vision is to connect UCD families together, providing support and critical tools to enhance quality of life.","Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs), Fundraising efforts",A set of diseases,"Urea cycle disorders (UCDs), a group of inborn errors of metabolism affecting the detoxification of nitrogen. Six examples of specific disorders, related to enzymes, are linked on the website: Ornithine Transcarbamylase (OTC Deficiency)-OTC, Argininosuccinic Acid Synthetase (Citrullinemia)-AS, Arginase-AG, Argininosuccinase Acid Lyase (argininosuccinic aciduria) or (ASA lyase)-AL, Carbamyl Phosphate Synthetase (CPS1)-CPS1, N-Acetylglutamate Synthetase-NAGS",Yes,2016,"Patient, Patient's loved one (parent, spouse, etc).","Patient, Loved one",Robin Deleon,N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Yes,Unknown (the organization does not mention a research agenda),N/A (the organization doesn't have or doesn't mention a research agenda),Yes,Unknown (the organization does not mention published treatment guidelines),Yes,Global Genes (Rare Foundation Alliance)
Connor B. Judge Foundation,https://www.connorbjudgefoundation.org/,chelsey@connorbjudgefoundation.org,N/A,United States of America,"spread understanding of NMO and autoimmunity, implement a stronger approach to its treatment, and create a greater stride toward its cure.",Basic research (how the disease works),One specific disease,neuromyelitis optica,Yes,2015,Unknown,Unknown,N/A,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Yes,Unknown (the organization does not mention an annual conference),NORD
Conquer MG,https://www.myastheniagravis.org/,info@myastheniagravis.org,N/A,United States of America,"Conquer Myasthenia Gravis is driven by the desire to help MG patients get prompt diagnosis and optimal care. We want to improve MG patient lives through programs of patient services, public awareness, medical research funding, professional education, advocacy, and patient care.

Our vision for the future is to eliminate myasthenia gravis altogether.","Patient education (ex. Flyers, patient education conferences), Patient support (ex. Communication, community connection), Disease awareness, Patient advocacy (ex. connecting patients to physicians), Basic research, Fundraising efforts",One specific disease,Myasthenia gravis,Yes,1972,"Patient, Parent of a patient, Physician, Family members of patients","Patient, Loved one, Physician, Loved one","They do not name the patients or family members but the physician part of the founding history is Dr. Benjamin Boshes, then Chairman of the Neurology Department at Northwestern University.",N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history registry),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Yes,Yes,Guidestar
Consortium for Outcome Measures and Biomarkers for Neurodevelopmental Disorders,https://www.combinedbrain.org/,info@combinedbrain.org,N/A,United States of America,"speeding the path to clinical treatments for people with severe rare genetic non-verbal neurodevelopmental disorders by pooling efforts, studies and data","Patient community development (eg. Communications, community connection with patients and loved ones), Basic research (how the disease works), by collaborating, sharing resources, tools and experts, all 13 small organizations will be able to prepare for drug trials faster by working together.",A set of diseases,Rare developmental disorders,Yes,2018,"Patient's loved one (parent, spouse, etc).",Loved one,Terry Jo Bichell,N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history study),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),"NORD, Global Genes (Rare Foundation Alliance),Guidestar"
Consortium of Multiple Sclerosis Centers,https://www.mscare.org/general/?type=contact_cmsc,info@mscare.org,N/A,United States of America,"The Mission of the CMSC is to:

Develop and sustain successful models of care to address the disease spectrum of multiple sclerosis (MS)
Stimulate and facilitate research in the field of multiple sclerosis.
Develop mechanisms with which to share information and knowledge among CMSC members and all those affected by MS
Influence the provision of the best in health care delivery in multiple sclerosis and related disorders
Partner with other entities to facilitate the mission as stated above","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Basic research (how the disease works), Policy development and advocacy",One specific disease,Multiple Sclerosis,Yes,2016,"Patient, Patient's loved one (parent, spouse, etc)., Researcher, Physician, Pharmaceutical, Nurses, Occupational therapist","Patient, Loved one, Researcher, Physician, Pharmaceutical, Medical professional",https://www.mscare.org/page/about_the_cmsc/ - N/A,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Yes (the organization utilizes a natural history registry),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Yes,"NORD, Global Genes (Rare Foundation Alliance), MSrt, PharMS, MSMHP, MS-PA, MSPiT, Neurology Live,"
Cooley's Anemia,https://www.thalassemia.org/,info@thalassemia.org,N/A,United States of America,"The Cooley’s Anemia Foundation is dedicated to serving people afflicted with various forms of thalassemia, most notably the major form of this genetic blood disease, Cooley’s anemia/thalassemia major.

The mission of the Cooley’s Anemia Foundation is to increase life expectancy and enhance the quality of life for those impacted by thalassemia, a class of genetic blood disorders, most of which require regular blood transfusions and aggressive management of chronic iron overload, the predominant cause of early death. We do so by funding medical research to advance treatment and curative approaches, by supporting and advising patients and their families and advocating on their behalf and by educating medical professionals and the general public.

Every day, we strive for longer and healthier lives for all patients with thalassemia until a universal cure is found.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs), External disease awareness, Fundraising efforts",A set of diseases,"Alpha Thalassemia, Beta Thalassemia, E Beta Thalassemia, Sickle Beta Thalassemia",Yes,2016,"Patient's loved one (parent, spouse, etc).",Loved one,Frank Ficarra,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Yes,Global Genes (Rare Foundation Alliance)
COPA Syndrome Foundation,https://www.copasyndrome.com/,info@copasyndrome.com,N/A,United States of America,"The COPA Syndrome Foundation is on a mission to discover how the COPA syndrome autoimmune disease damages the lungs, joints and other organs. Today very little is known about the disease. Our goal is to raise public awareness about this disorder and fund research and genetic testing to move forcefully toward improving treatment options and medications. We strive to offer hope, and ultimately a cure, for those suffering with the COPA syndrome, and to support their families who carry this genetic disease.","Patient education (eg. Patient education conferences, continuing educational resources), External disease awareness, Basic research (how the disease works)",One specific disease,COPA syndrome autoimmune disease,Yes,2016,"Patient's loved one (parent, spouse, etc).",Loved one,Molly Plant,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),N/A (the organization doesn't have or doesn't mention a research agenda),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),"NORD, Global Genes (Rare Foundation Alliance)"
Coriell Institute for Medical Research,https://www.coriell.org/,customerservice@coriell.org,N/A,United States of America,"Our mission to understand human genetic disease is being pursued on several fronts. The Coriell Personalized Medicine Collaborative® (CPMC®) research study is seeking to understand the usefulness of genetic information in clinical care. We are also building upon our history in cell biology by playing an important role in induced pluripotent stem cell (iPSC) research. And Coriell’s biobank manages the world’s most diverse collection of cell lines, DNA, and other biomaterials gathered and distributed for use by the international biomedical research community. In fact, in 1960 Coriell was one of the first two official cell banks recognized by the National Institute of Health.","External disease awareness, Basic research (how the disease works), New drug development",A set of diseases,"Opioid Use Disorder, Cancer, Certain complex diseases like obesity or diabetes. They do stem cell research and biobanking, and the full list of diseases can be found at https://www.coriell.org/0/Sections/BrowseCatalog/Diseases.aspx?PgId=3.",Yes,2016,Unknown,Unknown,N/A,N/A,Yes (the organization utilizes a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),Global Genes (Rare Foundation Alliance)
"Cornelia de Lange Syndrome Foundation, Inc.",https://www.cdlsusa.org/,info@cdlsusa.org,N/A,United States of America,"The CdLS Foundation is a national non-profit organization that has served individuals with CdLS and their families since 1981. The Foundation’s mission is reflected in its slogan: Reaching Out, Providing Help, and Giving Hope.The Foundation distributes a number of publications to families and professionals caring for individuals with CdLS, as well as hosts meetings and conferences where researchers and families can meet to exchange information. The Foundation also acts as a facilitator between families and professionals, utilizing a team of professionals who lend their expertise to those caring for an individual with CdLS.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), External disease awareness, Basic research (how the disease works)",One specific disease,The Cornelia de Lange Syndrome,Yes,1981,Physician,Physician,Dr. Cornelia De Lange,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Yes (the organization utilizes a natural history study),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Yes,Unknown (the organization does not mention an annual conference),"NORD, Global Genes (Rare Foundation Alliance)"
Cortical Foundation,https://cortfoundation.org/,info@cortfoundation.org,not available,United States of America,"The Cortical Foundation is dedicated to providing services to educate, advocate, support, and improve awareness of cortical malformations.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Basic research (how the disease works), Fundraising efforts",One specific disease,"The Cortical Foundation fulfills its mission through a comprehensive strategy that includes directly funding research, advocating for increased federal dollars for cortical malformation researchers around the country, providing patient services, and extending community outreach and education nationwide through a network of dedicated volunteers.",Yes,2011,"Patient, Patient's loved one (parent, spouse, etc).","Patient, Loved one","Founded by individuals whose families have been affected by various cortical malformations, we understand the challenges patients and their families face.",N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
Costello Syndrome Family Network,https://costellosyndromeusa.org/,Info@CostelloSyndromeUSA.org,"Sandra Taylor, mail not known",United States of America,To overcome the challenges of Costello syndrome,"Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Basic research (how the disease works), Fundraising efforts",One specific disease,"Raise awareness of Costello syndrome.  Provide information, support and advocacy to families affected by Costello syndrome.
Support and advocate for best practices and advancements in Costello syndrome treatment and research.
Provide sustainability of the organization through strong infrastructure, continuity and growth.",Yes,2001,Unknown,Unknown,Not known,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention treatment guidelines),Yes,None Listed
Courageous Faces Foundation,https://courageousfacesfoundation.org/,info@courageousfacesfoundation.com,trishmorris@courageousfacesfoundation.org,United States of America,"Our mission is to dramatically improve the quality of life for those living with rare and severe medical conditions through direct, personalized and ongoing support so they can live their best life possible.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs), Fundraising efforts, Policy development and advocacy",Unknown,"Our vision is to help them thrive, not just survive. Our support is ongoing, direct, and personalized for each of our “Inspirational Faces,” or “Champions of the Foundation”, as we call them, and their families. We work comprehensively with everyone involved to achieve the greatest benefit in the shortest time. Our Champions live with rare & severe medical conditions from genetics, injuries, illnesses, or a traumatic event",Yes,2015,owner of Interurban Companies,Other,Bill and Roxanne Doogan,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Yes,Unknown (the organization does not mention a research agenda),N/A (the organization doesn't have or doesn't mention a research agenda),Unknown (the organization does not mention a SAB/MAB),No (the organization states that they do not have published treatment guidelines),No (the organization states that they do not have an annual conference),None Listed
CPRS Forum,https://crpsforum.com/,N/A,N/A,United States of America,"to unite our community, educate, support research, and awareness for complex regional pain syndrome","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones)",A set of diseases,Complex Regional Pain Syndrome,Yes,2014,Patient,Patient,Roxanne Piszczek,a number of pain medications are mentioned in the informational pamphlet,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Yes,Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Yes,Yes,None Listed
CRMO Foundation,https://crmofoundation.org/,contactus@crmofoundation.org,N/A,United States of America,"The mission of the CRMO Foundation is to support and improve the health and well-being of Chronic Recurrent Multifocal Osteomyelitis (CRMO) patients and their families by furthering the efforts of life-changing research, increasing access to resources and education and promoting awareness of the disease.","Patient education (eg. Patient education conferences, continuing educational resources), External disease awareness, furthering the efforts of life-changing research, increasing access to resources and education.",One specific disease,Chronic recurrent multifocal osteomyelitis,Yes,2018,Unknown,Unknown,N/A,N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history study),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),N/A (the organization doesn't have or doesn't mention a research agenda),Yes,Unknown (the organization does not mention treatment guidelines),Unknown (the organization does not mention an annual conference),"NORD, Global Genes (Rare Foundation Alliance), Chan Zuckerberg Initiative's Rare as One Cohort"
CSNK2A1 Foundation,https://www.csnk2a1foundation.org/,info@csnk2a1foundation.org,N/A,United States of America,"CSNK2A1 Foundation is focused on finding a cure for Okur-Chung Neurodevelopmental Syndrome and ensuring affected individuals have the opportunities and supports necessary for happy and full lives. CSNK2A1 Foundation is operated and funded through a committed team of volunteers, advocates and researchers.","Patient education (ex. Flyers, patient education conferences), Patient support (ex. Communication, community connection), Disease awareness, Patient advocacy (ex. connecting patients to physicians), Basic research",One specific disease,Okur-Chung neurodevelopmental syndrome,Yes,2018,Parent of a patient,Loved one,Jennifer Sills,N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history study),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Yes,"NORD, Global Genes (Rare Foundation Alliance)"
CTNNB1 Syndrome Awareness Worldwide,https://www.ctnnb1.org/,N/A,kayla.cayton@ctnnb1.org,United States of America,"Our mission is to create awareness of CTNNB1 Syndrome; provide information about symptoms, diagnosis, treatments and therapies; and connect affected families.","Patient education (ex. Flyers, patient education conferences), Patient support (ex. Communication, community connection)",One specific disease,CTNNB1 Syndrome,Yes,2017,arose out of a parent-only Facebook group,Other,"Does not say, but Executive Director is Kayla Cayton",N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Yes,Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a scientific advisory board),Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
Cure AHC,https://www.cureahc.org/,info@cureahc.org,N/A,United States of America,"Cure AHC envisions a world where Alternating Hemiplegia of Childhood no longer robs its sufferers of the chance to participate fully in life, and where no case goes undiagnosed for lack of awareness. Our mission is to financially support research and therapies, improve quality of life and strengthen connections to the global AHC community.
01. OPEN
–
We advocate for open access to research, clinical practices, therapeutic interventions, and funding for anyone who aligns with our mission.
02. COLLABORATIVE
–
We seek to partner with like minded organizations, physicians, and scientists across the globe to achieve our mission.
03. ENGAGING
–
We strive to support and engage those diagnosed with AHC, as well as their families and caregivers by offering information and resources.
04. PUBLIC GOOD
–
We believe that access to information, care and treatments is a human right and want to do our part in making these available to anyone who needs it.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), External disease awareness, Basic research (how the disease works), New drug development, Fundraising efforts",One specific disease,Alternating Hemiplegia of Childhood,Yes,2016,"Patient's loved one (parent, spouse, etc).",Loved one,Jeff and Renee Wuchich,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention treatment guidelines),Yes,Global Genes (Rare Foundation Alliance)
Cure CMT4J/ Talia Duff Foundation,http://www.curecmt4j.org/,info@curecmt4j.org,N/A,United States of America,"CureCMT4J’s mission is to generate awareness and support for the expedited therapeutic development of a treatment or cure for CMT4J. CureCMT4J views its secondary mission as an advocacy organization, providing a voice and platform for rare disease advocacy and research through speaking engagements, rare disease conferences and social media education, awareness and fundraising campaigns.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), External disease awareness, New drug development, Fundraising efforts, Policy development and advocacy",One specific disease,Charcot-Marie-Tooth disease,Yes,2016,"Patient's loved one (parent, spouse, etc).",Loved one,Jocelyn Duff,"Yes. They state ""CureCMT4J is working with researchers, using several different pathways to identify existing drugs that may help to increase the missing FIG4 protein or help to down-regulate the processes that occur as a result of its absence.""",Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Yes,Yes,None Listed
Cure Duchenne,https://www.cureduchenne.org/,info@cureduchenne.org,debra@cureduchenne.org,United States of America,"improving the lives of everyone affected by Duchenne through accelerating research to find the cure, improving care and empowering the Duchenne community","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Basic research (how the disease works), New drug development, Fundraising efforts",One specific disease,Duchenne muscular dystrophy,Yes,2003,"Patient's loved one (parent, spouse, etc).",Loved one,"Debra Miller, Paul Miller","CureDuchenne is honored to be on the TACT TREAT–NMD Advisory Committee for Therapeutics.  This multidisciplinary body provides the neuromuscular community (clinicians, researchers, patient advocacy groups and industry) with independent and objective guidance on advancing new therapies (whether novel or repurposed) for neuromuscular diseases. https://www.cureduchenne.org/blog/tact-treat-nmd-review/ The current approach is to diagnose and treat with osteoporosis drugs (called “bisphosphonates”) off label and at the earliest signs of factures.  https://www.cureduchenne.org/blog/cureduchenne-ventures-prioritizes-bone-health-in-duchenne-through-investment-in-mesentech-inc/ The multitude of off label drugs we give our sons, steroids with significant side effects, surgeries, devices…all carry risks. https://www.cureduchenne.org/research/best-practices-in-clinical-study-design-for-rare-diseases/ Webinar Questions from Participants",Yes (the organization utilizes a biobank),Yes,Yes (the organization utilizes a natural history study),Yes,Yes,Yes,Yes,Yes,Yes,"NORD, Global Genes (Rare Foundation Alliance)"
Cure Dystonia Now,https://www.curedystonianow.org/index,info@curedystonianow.org,N/A,United States of America,Cure Dystonia Now is a public charitable organization that is run by volunteers and is working with researchers on cutting edge treatments and ultimately a cure for Dystonia.,"Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Basic research (how the disease works), New drug development, Fundraising efforts",One specific disease,Dystonia,Yes,2015,Unknown,Unknown,N/A,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Yes (the organization utilizes a natural history registry),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Yes,Yes,RDNetwork
Cure GM1 Foundation,https://curegm1.org/,info@curegm1.org,N/A,United States of America,The CURE GM1 FOUNDATION’s mission is to fund research for the benefit of all those who suffer from GM1 gangliosidosis.,"Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), External disease awareness, Basic research (how the disease works), Fundraising efforts, Policy development and advocacy",One specific disease,GM1 gangliosidosis,Yes,2015,"Patient's loved one (parent, spouse, etc).",Loved one,Christine Waggoner and her husband Douglas Dooley,"Cure GM1 has agreed to help fund a mouse study to test an existing drug that was tested in humans for another disease.  This drug did not make it to market, but has established safety data in humans and may help patients with GM1.  https://curegm1.org/june-2017-cure-gm1-update/ - Drug Rescue",Yes (the organization utilizes a biobank),Yes,Yes (the organization utilizes a natural history study),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
Cure HHT Foundation,https://curehht.org/,hhtinfo@curehht.org,N/A,United States of America,Our mission is to find a cure for HHT while saving the lives and improving the well-being of individuals and families affected by HHT.,"Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Basic research (how the disease works), New drug development, Drug Repurposing, Fundraising efforts",One specific disease,Osler-Weber-Rendu Disease,Yes,1991,"Patient, Physician","Patient, Physician",Dr. Robert I. White and Dr. Bruce Jacobson,"Over the last several years, a biologic pathway has been discovered which when partially blocked leads to substantial benefits to the patient. One of those agents is a repurposed drug, now re-formulated, which is taken orally, and produced by the foundation. This molecule has demonstrated profound success in nearly all of the few patients given the product. This data was presented to the FDA, and achieved Breakthrough Designation. Further, the proposed clinical trial has also been recently funded.",Yes (the organization utilizes a biobank),Yes,Unknown (the organization does not mention either),Yes,Yes,N/A (the organization doesn't have or doesn't mention a research agenda),Yes,Yes,Yes,None Listed
Cure JM Foundation,https://www.curejm.org/,info@curejm.org,"mitali.dave@curejm.org Mitali Dave, MS, MBA Chairman",United States of America,To find a cure and better treatments for Juvenile Myositis and improve the lives of families affected by JM.,"Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), External disease awareness, Basic research (how the disease works), Fundraising efforts",A set of diseases,Juvenile Myositis,Yes,2003,"Patient's loved one (parent, spouse, etc).",Loved one,"Shari Hume, Tom Hume and Lisa Felix",One of the four areas for research investment is Drug Development.  Investing in the discovery of new drugs or to repurpose existing drugs to provide more and better treatment options https://www.curejm.org/florida_2016_recap/minow.php,Yes (the organization utilizes a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Yes,Yes,"Guidestar, Great Non-Profits"
Cure Mito,https://www.curemito.org/,info@curemito.org,N/A,United States of America,"The Cure Mito Foundation is dedicated to advancing education and research for Leigh syndrome and mitochondrial disease.  Our mission is to empower families to come together with a common goal of finding treatments, and ultimately a cure, for this devastating disease. Patients are at the heart of everything we do.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Basic research (how the disease works)",A set of diseases,Leigh syndrome,Yes,2018,"Patient's loved one (parent, spouse, etc).",Loved one,Doug & Kasey Woleben and Courtney & Jacob Boggs,N/A,Yes (the organization utilizes a biobank),Yes,Yes (the organization utilizes a natural history registry),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention treatment guidelines),Unknown (the organization does not mention an annual conference),Global Genes (Rare Foundation Alliance)
Cure RTD Foundation,http://curertd.org/,info@cureRTD.org,N/A,United States of America,"Cure RTD is a global organization dedicated to saving lives through raising awareness, advancing treatment, and helping find a cure for Riboflavin Transporter Deficiency. RTD often goes undiagnosed or is diagnosed late after irreversible damage occurs. Due to incongruities in the available literature, many physicians are not aware of the current recommendations for treating a patient with RTD, and many diagnosed patients do not receive effective treatment. A diagnosis followed by proper treatment can change and save lives.  We will not rest until everyone with RTD is quickly and accurately diagnosed.","Patient community development (eg. Communications, community connection with patients and loved ones), External disease awareness, Fundraising efforts",One specific disease,Riboflavin Transporter Deficiency (RTD),Yes,2016,Unknown,Unknown,N/A,N/A,Yes (the organization utilizes a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
Cure Sanfilippo Foundation,https://curesanfilippofoundation.org/,Contact@CureSanfilippoFoundation.org,N/A,United States of America,to advocate for and fund research that could give children with Sanfilippo syndrome a chance at a better life by finding a treatment or cure for the disease.,"Patient education (eg. Patient education conferences, continuing educational resources), External disease awareness, Basic research (how the disease works), New drug development, Drug Repurposing, Fundraising efforts",One specific disease,Sanfilippo syndrome,Yes,2013,"Patient's loved one (parent, spouse, etc).",Loved one,Glenn and Cara O'Neill,Yes - says drug repurposing is underway and needs support - https://curesanfilippofoundation.org/what-we-do/accelerating-research/research-grants/ and https://curesanfilippofoundation.org/2020/02/re-purposing-fda-approved-inflammation-drug-for-sanfilippo/,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history registry),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),Global Genes (Rare Foundation Alliance)
Cure SMA,https://www.curesma.org/,info@curesma.org,N/A,United States of America,"Cure SMA leads the way to a world without spinal muscular atrophy (SMA), the number one genetic cause of death for infants. We fund and direct comprehensive research that drives breakthroughs in treatment and care, and we provide individuals with SMA and their families the support they need for today.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), External disease awareness, Basic research (how the disease works), New drug development, Fundraising efforts",One specific disease,Spinal muscular atrophy,Yes,2016,Unknown,Unknown,Audrey Lewis,N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention treatment guidelines),Yes,NORD
